08/08/2025 06:36:10 - INFO - __main__ -   ########## Repeat:0 ##########
08/08/2025 06:36:10 - INFO - utils.trainer -   ***** Running training *****
08/08/2025 06:36:10 - INFO - utils.trainer -     Num examples = 6
08/08/2025 06:36:10 - INFO - utils.trainer -     Num Epochs = 200
08/08/2025 06:36:10 - INFO - utils.trainer -     Total train batch size = 16
08/08/2025 06:36:10 - INFO - utils.trainer -     warmup steps = 400
08/08/2025 06:36:10 - INFO - utils.trainer -     Total optimization steps = 1200
08/08/2025 06:36:10 - INFO - utils.trainer -     Save steps = 200
08/08/2025 06:36:10 - INFO - root -   Parameters [normal] length [10]
08/08/2025 06:36:11 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 06:36:11 - INFO - utils.trainer -   AUC: 0.46429
08/08/2025 06:36:11 - INFO - utils.trainer -   Accuracy: 0.53846
08/08/2025 06:36:11 - INFO - utils.trainer -   Precision: 0.53846
08/08/2025 06:36:11 - INFO - utils.trainer -   Recall: 1.00000
08/08/2025 06:36:11 - INFO - utils.trainer -   F_score: 0.70000
08/08/2025 06:36:11 - INFO - utils.trainer -   Specificity: 0.00000
08/08/2025 06:36:11 - INFO - utils.trainer -   Sensitivity: 1.00000
08/08/2025 06:36:11 - INFO - utils.trainer -   Loss: 0.68010
08/08/2025 06:36:11 - INFO - utils.trainer -    Train loss: 0.70934, Test loss: 0.68010,Epoch time = 0.896s
08/08/2025 06:36:11 - INFO - utils.trainer -   Saving model checkpoint to output_dir/SteadyNet
08/08/2025 06:36:12 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 06:36:12 - INFO - utils.trainer -   AUC: 0.45387
08/08/2025 06:36:12 - INFO - utils.trainer -   Accuracy: 0.53846
08/08/2025 06:36:12 - INFO - utils.trainer -   Precision: 0.53846
08/08/2025 06:36:12 - INFO - utils.trainer -   Recall: 1.00000
08/08/2025 06:36:12 - INFO - utils.trainer -   F_score: 0.70000
08/08/2025 06:36:12 - INFO - utils.trainer -   Specificity: 0.00000
08/08/2025 06:36:12 - INFO - utils.trainer -   Sensitivity: 1.00000
08/08/2025 06:36:12 - INFO - utils.trainer -   Loss: 0.67305
08/08/2025 06:36:12 - INFO - utils.trainer -    Train loss: 0.68748, Test loss: 0.67305,Epoch time = 0.352s
08/08/2025 06:36:12 - INFO - utils.trainer -   Saving model checkpoint to output_dir/SteadyNet
08/08/2025 06:36:12 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 06:36:13 - INFO - utils.trainer -   AUC: 0.46280
08/08/2025 06:36:13 - INFO - utils.trainer -   Accuracy: 0.53846
08/08/2025 06:36:13 - INFO - utils.trainer -   Precision: 0.53846
08/08/2025 06:36:13 - INFO - utils.trainer -   Recall: 1.00000
08/08/2025 06:36:13 - INFO - utils.trainer -   F_score: 0.70000
08/08/2025 06:36:13 - INFO - utils.trainer -   Specificity: 0.00000
08/08/2025 06:36:13 - INFO - utils.trainer -   Sensitivity: 1.00000
08/08/2025 06:36:13 - INFO - utils.trainer -   Loss: 0.66694
08/08/2025 06:36:13 - INFO - utils.trainer -    Train loss: 0.69119, Test loss: 0.66694,Epoch time = 0.377s
08/08/2025 06:36:13 - INFO - utils.trainer -   Saving model checkpoint to output_dir/SteadyNet
08/08/2025 06:36:14 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 06:36:14 - INFO - utils.trainer -   AUC: 0.40476
08/08/2025 06:36:14 - INFO - utils.trainer -   Accuracy: 0.53846
08/08/2025 06:36:14 - INFO - utils.trainer -   Precision: 0.53846
08/08/2025 06:36:14 - INFO - utils.trainer -   Recall: 1.00000
08/08/2025 06:36:14 - INFO - utils.trainer -   F_score: 0.70000
08/08/2025 06:36:14 - INFO - utils.trainer -   Specificity: 0.00000
08/08/2025 06:36:14 - INFO - utils.trainer -   Sensitivity: 1.00000
08/08/2025 06:36:14 - INFO - utils.trainer -   Loss: 0.68678
08/08/2025 06:36:14 - INFO - utils.trainer -    Train loss: 0.69516, Test loss: 0.68678,Epoch time = 0.640s
08/08/2025 06:36:14 - INFO - utils.trainer -   Saving model checkpoint to output_dir/SteadyNet
08/08/2025 06:36:15 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 06:36:15 - INFO - utils.trainer -   AUC: 0.44345
08/08/2025 06:36:15 - INFO - utils.trainer -   Accuracy: 0.53846
08/08/2025 06:36:15 - INFO - utils.trainer -   Precision: 0.53846
08/08/2025 06:36:15 - INFO - utils.trainer -   Recall: 1.00000
08/08/2025 06:36:15 - INFO - utils.trainer -   F_score: 0.70000
08/08/2025 06:36:15 - INFO - utils.trainer -   Specificity: 0.00000
08/08/2025 06:36:15 - INFO - utils.trainer -   Sensitivity: 1.00000
08/08/2025 06:36:15 - INFO - utils.trainer -   Loss: 0.68441
08/08/2025 06:36:15 - INFO - utils.trainer -    Train loss: 0.69522, Test loss: 0.68441,Epoch time = 0.554s
08/08/2025 06:36:15 - INFO - utils.trainer -   Saving model checkpoint to output_dir/SteadyNet
08/08/2025 06:36:15 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 06:36:16 - INFO - utils.trainer -   AUC: 0.49107
08/08/2025 06:36:16 - INFO - utils.trainer -   Accuracy: 0.53846
08/08/2025 06:36:16 - INFO - utils.trainer -   Precision: 0.53846
08/08/2025 06:36:16 - INFO - utils.trainer -   Recall: 1.00000
08/08/2025 06:36:16 - INFO - utils.trainer -   F_score: 0.70000
08/08/2025 06:36:16 - INFO - utils.trainer -   Specificity: 0.00000
08/08/2025 06:36:16 - INFO - utils.trainer -   Sensitivity: 1.00000
08/08/2025 06:36:16 - INFO - utils.trainer -   Loss: 0.67618
08/08/2025 06:36:16 - INFO - utils.trainer -    Train loss: 0.69668, Test loss: 0.67618,Epoch time = 0.378s
08/08/2025 06:36:16 - INFO - utils.trainer -   Saving model checkpoint to output_dir/SteadyNet
08/08/2025 06:36:16 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 06:36:16 - INFO - utils.trainer -   AUC: 0.51935
08/08/2025 06:36:16 - INFO - utils.trainer -   Accuracy: 0.53846
08/08/2025 06:36:16 - INFO - utils.trainer -   Precision: 0.53846
08/08/2025 06:36:16 - INFO - utils.trainer -   Recall: 1.00000
08/08/2025 06:36:16 - INFO - utils.trainer -   F_score: 0.70000
08/08/2025 06:36:16 - INFO - utils.trainer -   Specificity: 0.00000
08/08/2025 06:36:16 - INFO - utils.trainer -   Sensitivity: 1.00000
08/08/2025 06:36:16 - INFO - utils.trainer -   Loss: 0.68874
08/08/2025 06:36:16 - INFO - utils.trainer -    Train loss: 0.69079, Test loss: 0.68874,Epoch time = 0.389s
08/08/2025 06:36:17 - INFO - utils.trainer -   Saving model checkpoint to output_dir/SteadyNet
08/08/2025 06:36:17 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 06:36:17 - INFO - utils.trainer -   AUC: 0.53274
08/08/2025 06:36:17 - INFO - utils.trainer -   Accuracy: 0.53846
08/08/2025 06:36:17 - INFO - utils.trainer -   Precision: 0.53846
08/08/2025 06:36:17 - INFO - utils.trainer -   Recall: 1.00000
08/08/2025 06:36:17 - INFO - utils.trainer -   F_score: 0.70000
08/08/2025 06:36:17 - INFO - utils.trainer -   Specificity: 0.00000
08/08/2025 06:36:17 - INFO - utils.trainer -   Sensitivity: 1.00000
08/08/2025 06:36:17 - INFO - utils.trainer -   Loss: 0.68891
08/08/2025 06:36:17 - INFO - utils.trainer -    Train loss: 0.69168, Test loss: 0.68891,Epoch time = 0.372s
08/08/2025 06:36:17 - INFO - utils.trainer -   Saving model checkpoint to output_dir/SteadyNet
08/08/2025 06:36:18 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 06:36:18 - INFO - utils.trainer -   AUC: 0.54018
08/08/2025 06:36:18 - INFO - utils.trainer -   Accuracy: 0.53846
08/08/2025 06:36:18 - INFO - utils.trainer -   Precision: 0.53846
08/08/2025 06:36:18 - INFO - utils.trainer -   Recall: 1.00000
08/08/2025 06:36:18 - INFO - utils.trainer -   F_score: 0.70000
08/08/2025 06:36:18 - INFO - utils.trainer -   Specificity: 0.00000
08/08/2025 06:36:18 - INFO - utils.trainer -   Sensitivity: 1.00000
08/08/2025 06:36:18 - INFO - utils.trainer -   Loss: 0.67840
08/08/2025 06:36:18 - INFO - utils.trainer -    Train loss: 0.69229, Test loss: 0.67840,Epoch time = 0.465s
08/08/2025 06:36:18 - INFO - utils.trainer -   Saving model checkpoint to output_dir/SteadyNet
08/08/2025 06:36:18 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 06:36:19 - INFO - utils.trainer -   AUC: 0.54018
08/08/2025 06:36:19 - INFO - utils.trainer -   Accuracy: 0.53846
08/08/2025 06:36:19 - INFO - utils.trainer -   Precision: 0.53846
08/08/2025 06:36:19 - INFO - utils.trainer -   Recall: 1.00000
08/08/2025 06:36:19 - INFO - utils.trainer -   F_score: 0.70000
08/08/2025 06:36:19 - INFO - utils.trainer -   Specificity: 0.00000
08/08/2025 06:36:19 - INFO - utils.trainer -   Sensitivity: 1.00000
08/08/2025 06:36:19 - INFO - utils.trainer -   Loss: 0.67889
08/08/2025 06:36:19 - INFO - utils.trainer -    Train loss: 0.68934, Test loss: 0.67889,Epoch time = 0.395s
08/08/2025 06:36:19 - INFO - utils.trainer -   Saving model checkpoint to output_dir/SteadyNet
08/08/2025 06:36:19 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/08/2025 06:36:19 - INFO - utils.trainer -   AUC: 0.52530
08/08/2025 06:36:19 - INFO - utils.trainer -   Accuracy: 0.53846
